index,y_pred
0,161824.33234911814
1,200979.8877857705
2,125879.55439735028
3,332628.53704986983
4,138319.06581770684
5,218869.68752329177
6,192660.3438393845
7,199246.09759172826
8,268024.1975345701
9,213639.15445612816
10,255231.72549981417
11,215239.91202831492
12,173961.34761759316
13,202717.22230283596
14,106519.36363502358
15,195122.21186672008
16,371815.4836063488
17,174415.54221919342
18,213595.7626232921
19,249523.70828064103
20,186459.90356117548
21,141110.70722878724
22,219122.54336964618
23,165159.6837370731
24,159806.35023484682
25,184396.35087000727
26,269843.20817551936
27,111436.71258886103
28,192166.9416584529
29,299959.08015880844
30,184474.55259453435
31,210460.13085721215
32,195032.07178300663
33,167076.74882493602
34,194208.28794318865
35,246519.34368137753
36,208778.58954027572
37,178038.680108856
38,169584.6082053908
39,120651.7420474325
40,128447.05325914345
41,190238.86956637417
42,206905.60521096314
43,143292.158027963
44,188818.1294382825
45,197783.44205050534
46,224114.0575688833
47,295128.7488450132
48,243362.41756542577
49,177179.6250271507
50,127197.73266833504
51,326610.0475701528
52,254130.26164188216
53,174087.33599074336
54,163510.68604647327
55,134988.51736736542
56,171149.20776821557
57,314731.15794011037
58,137051.30512406654
59,109323.22217323053
60,230956.81204737246
61,318381.2324025155
62,310075.52506871795
63,319938.3951209843
64,231124.31018774243
65,221599.18753631393
66,133792.50077441672
67,309171.0273354394
68,180337.44915146462
69,238232.641358704
70,254937.67948261235
71,268561.3627717409
72,413504.6873442679
73,205568.63485842675
74,156073.63902315855
75,176132.65519039604
76,254643.6842785821
77,257217.04188665893
78,390035.44680481555
79,179074.8519446856
80,207034.1814451706
81,228971.68782382115
82,178935.50142171577
83,282564.76156429196
84,232241.03322847132
85,348253.89632223465
86,262073.52341921345
87,201133.02244394892
88,191118.00646241565
89,177703.94967627234
90,183544.3579547005
91,194685.68852877896
92,176811.19703851896
93,173888.38090118827
94,226618.0491968373
95,181106.707221417
96,254443.85549109158
97,212373.07195313997
98,127789.16261126682
99,146767.50266943287
100,148156.51869887495
101,194207.32733699543
102,184583.19097510437
103,187610.9022604678
104,150613.234535929
105,190749.88943076137
106,168244.71548517802
107,213231.11842601778
108,215438.89639308534
109,210315.26617761445
110,254080.4203194745
111,123353.40803401404
112,239567.7338908831
113,226932.8866684151
114,302755.15501745493
115,231916.8234924697
116,154213.57173110612
117,85142.68941045596
118,191581.5662066272
119,235866.22967627004
120,94472.76288259626
121,118214.92146780383
122,292136.0448517388
123,93087.74767573336
124,165370.33248203172
125,243241.50183429525
126,553784.3576428763
127,170633.40001521757
128,125774.6897698328
129,192517.77998453152
130,126594.8778406005
131,167655.79910483884
132,185597.80537618487
133,192732.39124531762
134,128249.64093047974
135,269431.82573126163
136,210889.72738599236
137,205056.69553464785
138,210270.65523540683
139,300041.14676041924
140,165113.309140647
141,295293.79873707925
142,281276.6568871515
143,176691.36070212684
144,130971.8059791592
145,454806.1884070698
146,156589.081435635
147,179536.02555974643
148,184543.88422406223
149,416269.0571203612
150,192304.56857114565
151,233379.69671666034
152,206169.09843774437
153,355280.3836376355
